,country_id,population,state_name
0,0,4903185,Alabama
1,1,731545,Alaska
2,2,7278717,Arizona
3,3,3017804,Arkansas
4,4,39512223,California
5,5,5758736,Colorado
6,6,3565287,Connecticut
7,7,973764,Delaware
8,8,705749,District of Columbia
9,9,21477737,Florida
10,10,10617423,Georgia
11,11,1415872,Hawaii
12,12,1787065,Idaho
13,13,12671821,Illinois
14,14,6732219,Indiana
15,15,3155070,Iowa
16,16,2913314,Kansas
17,17,4467673,Kentucky
18,18,4648794,Louisiana
19,19,1344212,Maine
20,20,6045680,Maryland
21,21,6892503,Massachusetts
22,22,9986857,Michigan
23,23,5639632,Minnesota
24,24,2976149,Mississippi
25,25,6137428,Missouri
26,26,1068778,Montana
27,27,1934408,Nebraska
28,28,3080156,Nevada
29,29,1359711,New Hampshire
30,30,8882190,New Jersey
31,31,2096829,New Mexico
32,32,19453561,New York
33,33,10488084,North Carolina
34,34,762062,North Dakota
35,35,11689100,Ohio
36,36,3956971,Oklahoma
37,37,4217737,Oregon
38,38,12801989,Pennsylvania
39,39,1059361,Rhode Island
40,40,5148714,South Carolina
41,41,884659,South Dakota
42,42,6829174,Tennessee
43,43,28995881,Texas
44,44,3205958,Utah
45,45,623989,Vermont
46,46,8535519,Virginia
47,47,7614893,Washington
48,48,1792147,West Virginia
49,49,5822434,Wisconsin
50,50,578759,Wyoming
